"","District","value.ID","value.O3_column_number_density","month","year","o3"
"411","moshi",1,120407.84375,"04","2019","O3"
"412","moshi",1,120407.84375,"04","2019","O3"
"413","moshi",1,120407.84375,"04","2019","O3"
"414","moshi",1,120325.4296875,"04","2019","O3"
"415","moshi",1,120325.4296875,"04","2019","O3"
"416","moshi",1,120325.4296875,"04","2019","O3"
"417","moshi",1,120326.53125,"04","2019","O3"
"418","moshi",1,120533.4140625,"04","2019","O3"
"419","moshi",1,120533.4140625,"04","2019","O3"
"420","moshi",1,120479.9609375,"04","2019","O3"
"421","moshi",1,120407.84375,"04","2019","O3"
"422","moshi",1,120407.84375,"04","2019","O3"
"423","moshi",1,120416.921875,"04","2019","O3"
"424","moshi",1,120692.25,"04","2019","O3"
"425","moshi",1,120412.796875,"04","2019","O3"
"426","moshi",1,120435.921875,"04","2019","O3"
"427","moshi",1,120389.5546875,"04","2019","O3"
"428","moshi",1,120387.484375,"04","2019","O3"
"429","moshi",1,120505.75,"04","2019","O3"
"430","moshi",1,120505.75,"04","2019","O3"
"431","moshi",1,120539.453125,"04","2019","O3"
"432","moshi",1,120692.25,"04","2019","O3"
"433","moshi",1,120990.8359375,"04","2019","O3"
"434","moshi",1,121060.6484375,"04","2019","O3"
"435","moshi",1,121022.0703125,"04","2019","O3"
"436","moshi",1,121022.0703125,"04","2019","O3"
"437","moshi",1,120435.921875,"04","2019","O3"
"438","moshi",1,120389.5546875,"04","2019","O3"
"439","moshi",1,120387.484375,"04","2019","O3"
"440","moshi",1,120505.75,"04","2019","O3"
"441","moshi",1,120505.75,"04","2019","O3"
"442","moshi",1,120539.453125,"04","2019","O3"
"443","moshi",1,120692.25,"04","2019","O3"
"444","moshi",1,120990.8359375,"04","2019","O3"
"445","moshi",1,121060.6484375,"04","2019","O3"
"446","moshi",1,121022.0703125,"04","2019","O3"
"447","moshi",1,120552.375,"04","2019","O3"
"448","moshi",1,120398.2421875,"04","2019","O3"
"449","moshi",1,120773,"04","2019","O3"
"450","moshi",1,120773,"04","2019","O3"
"451","moshi",1,120876.453125,"04","2019","O3"
"452","moshi",1,120746.6171875,"04","2019","O3"
"453","moshi",1,120692.9609375,"04","2019","O3"
"454","moshi",1,120692.9609375,"04","2019","O3"
"455","moshi",1,120876.453125,"04","2019","O3"
"456","moshi",1,120876.453125,"04","2019","O3"
"457","moshi",1,117094.4765625,"05","2019","O3"
"458","moshi",1,117094.4765625,"05","2019","O3"
"459","moshi",1,117286.4140625,"05","2019","O3"
"460","moshi",1,117094.4765625,"05","2019","O3"
"461","moshi",1,117094.4765625,"05","2019","O3"
"462","moshi",1,117191.0390625,"05","2019","O3"
"463","moshi",1,117199.0390625,"05","2019","O3"
"464","moshi",1,117193.5546875,"05","2019","O3"
"465","moshi",1,117185.8984375,"05","2019","O3"
"466","moshi",1,117185.8984375,"05","2019","O3"
"467","moshi",1,117453.8984375,"05","2019","O3"
"468","moshi",1,117191.0390625,"05","2019","O3"
"469","moshi",1,117191.0390625,"05","2019","O3"
"470","moshi",1,117191.0390625,"05","2019","O3"
"471","moshi",1,117193.5546875,"05","2019","O3"
"472","moshi",1,117193.5546875,"05","2019","O3"
"473","moshi",1,117469.5390625,"05","2019","O3"
"474","moshi",1,117523.9921875,"05","2019","O3"
"475","moshi",1,117523.9921875,"05","2019","O3"
"476","moshi",1,117523.9921875,"05","2019","O3"
"477","moshi",1,117211.703125,"05","2019","O3"
"478","moshi",1,117172.5703125,"05","2019","O3"
"479","moshi",1,117129.7265625,"05","2019","O3"
"480","moshi",1,117124.5625,"05","2019","O3"
"481","moshi",1,117124.5625,"05","2019","O3"
"482","moshi",1,117124.5625,"05","2019","O3"
"483","moshi",1,117587.15625,"05","2019","O3"
"484","moshi",1,117523.9921875,"05","2019","O3"
"485","moshi",1,117523.9921875,"05","2019","O3"
"486","moshi",1,117556.8515625,"05","2019","O3"
"487","moshi",1,117556.8515625,"05","2019","O3"
"488","moshi",1,117722.8984375,"05","2019","O3"
"489","moshi",1,117303.7734375,"05","2019","O3"
"490","moshi",1,117191.0390625,"05","2019","O3"
"491","moshi",1,117191.0390625,"05","2019","O3"
"492","moshi",1,117191.0390625,"05","2019","O3"
"493","moshi",1,117191.0390625,"05","2019","O3"
"494","moshi",1,117587.15625,"05","2019","O3"
"495","moshi",1,117523.9921875,"05","2019","O3"
"496","moshi",1,117523.9921875,"05","2019","O3"
"497","moshi",1,117556.8515625,"05","2019","O3"
"498","moshi",1,117556.8515625,"05","2019","O3"
"499","moshi",1,117722.8984375,"05","2019","O3"
"500","moshi",1,117303.7734375,"05","2019","O3"
"501","moshi",1,117191.0390625,"05","2019","O3"
"502","moshi",1,117191.0390625,"05","2019","O3"
"503","moshi",1,117191.0390625,"05","2019","O3"
"504","moshi",1,117523.9921875,"05","2019","O3"
"505","moshi",1,117919.0703125,"05","2019","O3"
"506","moshi",1,117919.0703125,"05","2019","O3"
"507","moshi",1,117919.0703125,"05","2019","O3"
